"ruleId","type","fieldId","description","noticeId (null means all)","condition","expression","target","severity","codeListId","codeListParentId"
"BR-BT-05421-0103","value_check","BT-5421-LotsGroup","The BT-5421-LotsGroup Award Criterion Number Weight must contain one of the values of the code list number-weight.","NULL","NULL","NULL","all","ERROR","number-weight","NULL"
"BR-BT-05421-0104","value_check","BT-5421-Lot","The BT-5421-Lot Award Criterion Number Weight must contain one of the values of the code list number-weight.","NULL","NULL","NULL","all","ERROR","number-weight","NULL"
"BR-BT-05422-0103","value_check","BT-5422-LotsGroup","The BT-5422-LotsGroup Award Criterion Number Fixed must contain one of the values of the code list number-fixed.","NULL","NULL","NULL","all","ERROR","number-fixed","NULL"
"BR-BT-05422-0104","value_check","BT-5422-Lot","The BT-5422-Lot Award Criterion Number Fixed must contain one of the values of the code list number-fixed.","NULL","NULL","NULL","all","ERROR","number-fixed","NULL"
"BR-BT-05423-0103","value_check","BT-5423-LotsGroup","The BT-5423-LotsGroup Award Criterion Number Threshold must contain one of the values of the code list number-threshold.","NULL","NULL","NULL","all","ERROR","number-threshold","NULL"
"BR-BT-05423-0104","value_check","BT-5423-Lot","The BT-5423-Lot Award Criterion Number Threshold must contain one of the values of the code list number-threshold.","NULL","NULL","NULL","all","ERROR","number-threshold","NULL"
"BR-BT-07220-0052","value_check","BT-7220-Lot","The BT-7220-Lot EU Funds Programme must contain one of the values of the code list eu-programme.","NULL","NULL","NULL","all","ERROR","eu-programme","NULL"
"BR-BT-07531-0052","value_check","BT-7531-Lot","The BT-7531-Lot Selection Criteria Second Stage Invite Number Weight must contain one of the values of the code list number-weight.","NULL","NULL","NULL","all","ERROR","number-weight","NULL"
"BR-BT-07532-0052","value_check","BT-7532-Lot","The BT-7532-Lot Selection Criteria Second Stage Invite Number Threshold must contain one of the values of the code list number-threshold.","NULL","NULL","NULL","all","ERROR","number-threshold","NULL"
"BR-OPP-00030-0052","value_check","OPP-030-Tender","The OPP-030-Tender Contract conditions Code must contain one of the values of the code list contract-detail.","NULL","NULL","NULL","all","ERROR","contract-detail","NULL"
"BR-OPP-00033-0052","value_check","OPP-033-Tender","The OPP-033-Tender Penalties and Rewards Code must contain one of the values of the code list rewards-penalties.","NULL","NULL","NULL","all","ERROR","rewards-penalties","NULL"
"BR-OPP-00040-0051","value_check","OPP-040-Procedure","The OPP-040-Procedure Main Nature - Sub Type must contain one of the values of the code list transport-service.","NULL","NULL","NULL","all","ERROR","transport-service","NULL"
